Paper ID,Title,Primary candidate type,Secondary candidate types,Engineering subtype,Status,Patient cohorts,Statistical association,Prediction models,External validation,Bacterial perturbation,Host pathway intervention,Rescue / add-back,Cell / animal models,Method development,Microbial engineering,Materials / delivery
ITB-000330,Tumour-associated and non-tumour-associated microbiota: Addendum.,Clinical statistics,,,Automatic candidate; requires manual review,"A TH17 response has been associated with decreased survival in patients with CRC2, and members of the Pathogen CAG such as Fusobacterium nucleatum, Escherichia coli and Bacteroides fragilis have been repeatedly reported to be associated with CRC-development. | In this Addendum we extend our analysis of the at-surgery microbiota to microbiota profiles obtained after surgery for CRC which we analyzed in the context of survival data for patients with CRC.","In a recent study1 we reported that tissue-associated microbial Co-abundance Groups (CAGs) were differentially associated with colorectal cancer (CRC). | Two of the CAGs, which we named Pathogen CAG and Prevotella CAG, were correlated with a gene expression signature indicative of a TH17 response. | A TH17 response has been associated with decreased survival in patients with CRC2, and members of the Pathogen CAG such as Fusobacterium nucleatum, Escherichia coli and Bacteroides fragilis have been repeatedly reported to be associated with CRC-development. | Thus we hypothesized that the abundance of these CAGs may be associated with poor survival. | Surprisingly we found that high tissue-associated abundance of the previously defined Prevotella- and Pathogen-CAGs at surgery was associated with longer survival. | Furthermore, we detected an association of the Bacteroidetes CAG in pre-surgery faecal microbiota with stability of the microbiota after surgery.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000331,Mucosa-associated microbiota dysbiosis in colitis associated cancer.,Clinical statistics,,,Automatic candidate; requires manual review,"Here we analyzed the bacterial and fungal composition of the mucosa associated microbiota of patients suffering CAC, sporadic cancer (SC) and of healthy subjects (HS) by barcode sequences analysis on the following cohort: 7 CAC patients, 10 SC patients and 10 HS using 16S (MiSeq) and ITS2 (pyrosequencing) sequencing, for bacteria and fungi respectively. | The global mucosa-associated bacterial microbiota in cancer patients was characterized by a restriction in biodiversity but no change for the fungal community. | Although the cohort is limited in number, this is the first evidence of the existence of an altered bacterial microbiota in CAC clearly different from the one in SC patients.","Gut microbiota dysbiosis has been associated with inflammatory bowel diseases (IBD). | However, very little is known on the structure and role of the microbiota in colitis associated cancer (CAC), an important complication of IBD in human. | Here we analyzed the bacterial and fungal composition of the mucosa associated microbiota of patients suffering CAC, sporadic cancer (SC) and of healthy subjects (HS) by barcode sequences analysis on the following cohort: 7 CAC patients, 10 SC patients and 10 HS using 16S (MiSeq) and ITS2 (pyrosequencing) sequencing, for bacteria and fungi respectively. | Mucosa-associated bacterial microbiota in CAC was significantly different from the ones in SC or in HS, while the fungal showed no differences. | Comparison between mucosa-associated microbiota on the tumor site or in normal mucosa near the tumor showed very similar patterns. | The global mucosa-associated bacterial microbiota in cancer patients was characterized by a restriction in biodiversity but no change for the fungal community. | Our study confirms the alteration of the mucosa-associated bacterial microbiota in IBD and SC.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000333,Microbiota Diversity in Human Colorectal Cancer Tissues Is Associated with Clinicopathological Features.,Clinical statistics,,,Automatic candidate; requires manual review,"AIM: Few evidences are available regarding the link between microbiota composition in the human colorectal cancer (CRC) tissues and the patients' clinicopathological features. | METHODS: Microbiota diversity in CRC tissues (n = 30) were profiled and compared by high-throughput sequencing with clinicopathological features, including tumor location, differentiation degree, metastasis, and CRC patients' gender and age. | Helicobacter spp. in RCa and MPD patients was significantly higher than in LCa and WD patients (P < 0.05). | Firmicutes in non-lymph node metastasis (LNM) patients was significantly lower than in LNM patients (P < 0.05). | CONCLUSION: The different microbiota composition in the CRCs was associated with patients' clinicopathological features, which could be a consequence of microflora diversity.","RESULTS: Many bacteria with significant difference in abundance were identified associated with these clinicopathological features (P 60 years), respectively (P < 0.05). | CONCLUSION: The different microbiota composition in the CRCs was associated with patients' clinicopathological features, which could be a consequence of microflora diversity.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000334,Microbiota Profile and Impact of Fusobacterium nucleatum in Colorectal Cancer Patients of Barretos Cancer Hospital.,Clinical statistics,,,Automatic candidate; requires manual review,"Moreover, the presence of Fn DNA in CRC tissue was also associated with a worse patient cancer-specific survival (69.9 vs. 82.2% in 5 years; p = 0.028) and overall survival (63.5 vs. 76.5%; p = 0.037). | Here we report, for the first time, the association of F. nucleatum presence with important clinical and molecular features in a Brazilian cohort of CRC patients. | Tumor detection and classification based on the gut microbiome might provide a promising approach to improve the prediction of patient outcome.","Fn DNA in the tumor tissue was significantly associated with proximal tumors (p = 0.001), higher depth of invasion (p = 0.014), higher clinical stages (p = 0.033), poor differentiation (p = 0.011), MSI-positive status (p < 0.0001), BRAF mutated tumors (p < 0.0001), and the loss of expression of mismatch-repair proteins MLH1 (p < 0.0001), MSH2 (p = 0.003), and PMS2 (p < 0.0001). | Moreover, the presence of Fn DNA in CRC tissue was also associated with a worse patient cancer-specific survival (69.9 vs. 82.2% in 5 years; p = 0.028) and overall survival (63.5 vs. 76.5%; p = 0.037). | Here we report, for the first time, the association of F. nucleatum presence with important clinical and molecular features in a Brazilian cohort of CRC patients.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000335,Neutrophils Restrict Tumor-Associated Microbiota to Reduce Growth and Invasion of Colon Tumors in Mice.,Mechanistic studies,Clinical statistics,,Automatic candidate; requires manual review,"BACKGROUND & AIMS: Neutrophils are among the most prevalent immune cells in the microenvironment of colon tumors; they are believed to promote growth of colon tumors, and their numbers correlate with outcomes of patients with colon cancer. | Trials of inhibitors of neutrophil trafficking are underway in patients with cancer, but it is not clear how neutrophils contribute to colon tumorigenesis.","METHODS: Colitis-associated colon cancer was induced in mice with conditional deletion of neutrophils (LysMCre;Mcl1fl/fl) and wild-type littermates (LysMCre;Mcl1wt/wt, control mice) by administration of azoxythmethane and/or dextran sulfate sodium. | Fecal and tumor-associated microbiota were assessed by 16s ribosomal RNA sequencing. | Neutrophil depletion correlated with increased numbers of bacteria in tumors and proliferation of tumor cells, tumor-cell DNA damage, and an inflammatory response mediated by interleukin 17 (IL17). | CONCLUSIONS: In comparisons of mice with vs without neutrophils, we found neutrophils to slow colon tumor growth and progression by restricting numbers of bacteria and tumor-associated inflammatory responses.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Administration of antibiotics or a neutralizing antibody against IL17 to neutrophil-deficient mice resulted in development of less-invasive tumors compared with mice given vehicle.,Not found in abstract / unknown,"METHODS: Colitis-associated colon cancer was induced in mice with conditional deletion of neutrophils (LysMCre;Mcl1fl/fl) and wild-type littermates (LysMCre;Mcl1wt/wt, control mice) by administration of azoxythmethane and/or dextran sulfate sodium. | Sporadic colon tumorigenesis was assessed in neutrophil-deficient and neutrophil-replete mice with conditional deletion of colon epithelial Apc (Cdx2-CreERT2;Apcfl/fl). | Primary colon tumor tissues from these mice were assessed by histology, RNA sequencing, quantitative polymerase chain reaction, and fluorescence in situ hybridization analyses. | RESULTS: In mice with inflammation-induced and sporadic colon tumors, depletion of neutrophils increased the growth, proliferation, and invasiveness of the tumors. | RNA sequencing analysis identified genes that regulate antimicrobial and inflammatory processes that were dysregulated in neutrophil-deficient colon tumors compared with colon tumors from control mice. | The 16s ribosomal RNA sequencing identified significant differences in the composition of the microbiota between colon tumors from neutrophil-deficient vs control mice. | Administration of antibiotics or a neutralizing antibody against IL17 to neutrophil-deficient mice resulted in development of less-invasive tumors compared with mice given vehicle. | CONCLUSIONS: In comparisons of mice with vs without neutrophils, we found neutrophils to slow colon tumor growth and progression by restricting numbers of bacteria and tumor-associated inflammatory responses.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000336,Changes in SNAI1 and VIM gene expression in Caco2 cells after cocultivation with bacteria from colorectal cancer biopsies.,Unresolved,,,Automatic candidate; requires manual review,Not found in abstract / unknown,Our data suggest bacteria presented in colorectal carcinoma tissues may cause changes in gene expression of EMT-associated genes.,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,In the present study we used different types of intracellular bacteria isolated from colorectal cancer biopsies to examine their effect on the expression of SNAI1 and VIM genes in Caco2 cell line.,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000337,International Cancer Microbiome Consortium consensus statement on the role of the human microbiome in carcinogenesis.,Clinical statistics,,,Automatic candidate; requires manual review,"The panel cited the lack of large longitudinal, cohort studies as a principal deciding factor and agreed that this should be a future research priority. | CONCLUSION: Data from longitudinal cohort studies are needed to confirm the role of the human microbiome as a key driver in the aetiopathogenesis of cancer.","RESULTS: Some 18 experts convened for the roundtable discussion and five key questions were identified regarding: (1) the relevance of dysbiosis/an altered gut microbiome to carcinogenesis; (2) potential mechanisms of microbiota-induced carcinogenesis; (3) conceptual frameworks describing how the human microbiome may drive carcinogenesis; (4) causation versus association; and (5) future directions for research in the field.The panel considered that, despite mechanistic and supporting evidence from animal and human studies, there is currently no direct evidence that the human commensal microbiome is a key determinant in the aetiopathogenesis of cancer.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000338,Abstract 6095: Unique tumor microbiome in microsatellite instability high (MSI-H) colon carcinoma,Unresolved,,,Automatic candidate; requires manual review,Not found in abstract / unknown,In: Proceedings of the Annual Meeting of the American Association for Cancer Research 2020; 2020 Apr 27-28 and Jun 22-24.,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000339,Association of autophagy status with amount of Fusobacterium nucleatum in colorectal cancer.,Clinical statistics,,,Automatic candidate; requires manual review,"Tumour BECN1, MAP1LC3, and SQSTM1 levels were not significantly associated with patient survival (Ptrend > 0.10).","Fusobacterium nucleatum (F. nucleatum), which has been associated with colorectal carcinogenesis, can impair anti-tumour immunity, and actively invade colon epithelial cells. | We conducted multivariable ordinal logistic regression analyses to examine the association of tumour BECN1, MAP1LC3, and SQSTM1 expression with the amount of F. nucleatum, adjusting for potential confounders, including microsatellite instability status; CpG island methylator phenotype; long-interspersed nucleotide element-1 methylation; and KRAS, BRAF, and PIK3CA mutations. | Compared with BECN1-low cases, BECN1-intermediate and BECN1-high cases were associated with lower amounts of F. nucleatum with odds ratios (for a unit increase in three ordinal categories of the amount of F. nucleatum) of 0.54 (95% confidence interval, 0.29-0.99) and 0.31 (95% confidence interval, 0.16-0.60), respectively (Ptrend 0.06). | Tumour BECN1, MAP1LC3, and SQSTM1 levels were not significantly associated with patient survival (Ptrend > 0.10). | In conclusion, tumour BECN1 expression is inversely associated with the amount of F. nucleatum in colorectal cancer tissue, suggesting a possible role of autophagy in the elimination of invasive microorganisms. © 2019 Pathological Society of Great Britain and Ireland.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000341,Tumor-Associated Microbiota in Proximal and Distal Colorectal Cancer and Their Relationships With Clinical Outcomes.,Clinical statistics,,,Automatic candidate; requires manual review,"In this study, we explored tumor microbiota diversity and composition difference in patients with proximal (N = 187) and distal CRCs (N = 142). | The Kaplan-Meier method was used to analyze the correlation between differential flora and overall survival rate of the patients. | The abundance of Fusobacteria was associated with age of patient, tumor diameter, and tumor microsatellite instability (MSI) status of the patients. | Moreover, Fusobacteria enrichment was associated with poor prognosis especially in patients with proximal colon cancers, but not in patients with distal CRC.","The Kaplan-Meier method was used to analyze the correlation between differential flora and overall survival rate of the patients. | The abundance of Fusobacteria was associated with age of patient, tumor diameter, and tumor microsatellite instability (MSI) status of the patients. | Moreover, Fusobacteria enrichment was associated with poor prognosis especially in patients with proximal colon cancers, but not in patients with distal CRC.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000343,The Sulfur Microbial Diet and Risk of Colorectal Cancer by Molecular Subtypes and Intratumoral Microbial Species in Adult Men.,Unresolved,,,Automatic candidate; requires manual review,Not found in abstract / unknown,"INTRODUCTION: We recently described the sulfur microbial diet, a pattern of intake associated with increased gut sulfur-metabolizing bacteria and incidence of distal colorectal cancer (CRC). | METHODS: We performed Cox proportional hazards modeling to examine the association between the sulfur microbial diet and incidence of overall and distal CRC by molecular and microbial subtype in the Health Professionals Follow-Up Study (1986-2012). | However, there was a suggestion of an association by prostaglandin synthase 2 (PTGS2) status with a multivariable adjusted hazard ratio for highest vs lowest tertile of sulfur microbial diet scores of 1.31 (95% confidence interval: 0.99-1.74, Ptrend = 0.07, Pheterogeneity = 0.04) for PTGS2-high CRC. | The association of the sulfur microbial diet with distal CRC seemed to differ by the presence of intratumoral Bifidobacterium spp. with an adjusted hazard ratio for highest vs lowest tertile of sulfur microbial diet scores of 1.65 (95% confidence interval: 1.14-2.39, Ptrend = 0.01, Pheterogeneity = 0.03) for Bifidobacterium-negative distal CRC. | DISCUSSION: Greater long-term adherence to the sulfur microbial diet could be associated with PTGS2-high and Bifidobacterium-negative distal CRC in men.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000344,Differential Mucosal Microbiome Profiles across Stages of Human Colorectal Cancer.,Clinical statistics,,,Automatic candidate; requires manual review,"However, the CRC stage- and spatial-specific bacterial taxa were less investigated, especially in a Chinese cohort, leading to our incomplete understanding of the functional roles of gut microbiota in promoting CRC progression and recurrence.","Moreover, co-occurrence and co-excluding network analysis of these genera showed strong correlations in CRC stage I, which were subsequently reduced in CRC stages II and III.","These biomarkers classified CRC stages I, II and III distinguished from each other with an area under the receiver-operating curve (AUC) > 0.5.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000345,ANGPTL4-Mediated Promotion of Glycolysis Facilitates the Colonization of Fusobacterium nucleatum in Colorectal Cancer.,Mechanistic studies,Clinical statistics,,Automatic candidate; requires manual review,"Furthermore, overall increased acetylation of histone H3 lysine 27 was observed in F. nucleatum-infected colorectal cancer cells and patient tumors, which was responsible for the corresponding transcriptional upregulation of ANGPTL4.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,"However, the mechanisms underlying the colonization of F. nucleatum in colorectal cancer tissue are not yet clarified. | Upregulated ANGPTL4 promoted glucose uptake and glycolysis activity in colorectal cancer cells in vitro and in vivo, which are necessary for the colonization of F. nucleatum. | SIGNIFICANCE: F. nucleatum colonization in colorectal cancer is regulated by ANGPTL4-mediated glycolysis, suggesting that this axis could be targeted for combined repression of F. nucleatum and cancer progression.",Not found in abstract / unknown,Not found in abstract / unknown,"Upregulated ANGPTL4 promoted glucose uptake and glycolysis activity in colorectal cancer cells in vitro and in vivo, which are necessary for the colonization of F. nucleatum.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000346,Mapping the colorectal tumor microbiota.,Clinical statistics,,,Automatic candidate; requires manual review,"The gut microbiome in patients with colorectal cancer (CRC) is different than that of healthy controls. | To test this hypothesis, seven biopsies were taken from representative areas on and off the tumor in five patients with CRC.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000347,Metagenomic analysis of formalin-fixed paraffin-embedded tumor and normal mucosa reveals differences in the microbiome of colorectal cancer patients.,Clinical statistics,,,Automatic candidate; requires manual review,We selected a cohort of LS patients that had developed CRC and had undergone surgical resection.,"An increased risk of developing colorectal cancer (CRC) and other types of tumor is associated to Lynch syndrome (LS), an inherited condition caused by germline mutations in mismatch repair genes. | A metagenomic approach enabled the taxonomic and functional identification of the microbial community and associated genes detected in the specimens.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000348,The Potential of Colonic Tumor Tissue Fusobacterium nucleatum to Predict Staging and Its Interplay with Oral Abundance in Colon Cancer Patients.,Clinical statistics,,,Automatic candidate; requires manual review,METHODS: Thirty-six CC patients were included in the study to assess the Pg and Fn oral and colon tissue abundance by qPCR. | RESULTS: Patients had a greater quantity of Fn in the oral cavity than matched CC and adjacent non-neoplastic mucosa (adj t) tissues (p = 0.004 and p < 0.001).,"The aim of the study was to assess whether the abundance of these odontopathogenic bacteria was associated with colon cancer. | There was an association between the Fn quantity in the oral and CC tissue and a statistically significant relation between the Fn abundance in adenocarcinoma (ADK) and staging (p = 0.016). | CONCLUSION: In our study, Pg was absent in colon tissues but was correlated with the oral inflammation gingival and plaque indices.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000349,Oral and Intravenous Iron Therapy Differentially Alter the On- and Off-Tumor Microbiota in Anemic Colorectal Cancer Patients.,Clinical statistics,,,Automatic candidate; requires manual review,"Anemic patients with colorectal adenocarcinoma received either oral ferrous sulphate (n = 16) or intravenous ferric carboxymaltose (n = 24). | Off-tumor microbiota of oral iron-treated patients showed higher abundances of the orders Clostridiales, Cytophagales, and Anaeroplasmatales compared to intravenous iron-treated patients. | The on- and off-tumor microbiota associated with intravenous iron-treated patients infers increased abundances of enzymes involved in iron sequestration and anti-inflammatory/oncogenic metabolite production, compared to oral iron-treated patients.","We performed an intervention study to compare oral and intravenous iron therapy on the colonic tumor-associated (on-tumor) and paired non-tumor-associated adjacent (off-tumor) microbiota. | The on- and off-tumor microbiota associated with intravenous iron-treated patients infers increased abundances of enzymes involved in iron sequestration and anti-inflammatory/oncogenic metabolite production, compared to oral iron-treated patients.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000350,Differences in the On- and Off-Tumor Microbiota between Right- and Left-Sided Colorectal Cancer.,Clinical statistics,,,Automatic candidate; requires manual review,"This study aims to determine differences in the on- and off-tumor microbiota between patients with right- and left-sided colorectal cancer. | Microbiome profiling of tumor and tumor-adjacent biopsies from patients with right-sided (n = 17) and left-sided (n = 7) colorectal adenocarcinoma was performed using 16S ribosomal RNA sequencing. | Off-tumor alpha and beta diversity were significantly different between right- and left-sided colorectal cancer patients. | Patients with left-sided colorectal cancer had large taxonomic differences between their paired on- and off-tumor microbiota, while patients with right-sided colorectal cancer showed relatively fewer taxonomic differences.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000351,Analysis of changes in microbiome compositions related to the prognosis of colorectal cancer patients based on tissue-derived 16S rRNA sequences.,Clinical statistics,,,Automatic candidate; requires manual review,"METHODS: In the present work, we analyzed 102 microbiome datasets containing tumor- and normal tissue-derived microbiomes obtained from a total of 51 Korean colorectal cancer (CRC) patients using 16S rRNA amplicon sequencing. | Two types of comparisons were used: 'normal versus (vs.) tumor' comparison and 'recurrent vs. nonrecurrent' comparison, for which the prognosis of patients was retrospectively determined. | Surprisingly, in the 'recurrent vs. nonrecurrent' comparison, we observed that these two pathogenic bacteria were more abundant in the patients without recurrence than in the patients with recurrence. | CONCLUSIONS: Taken together, it seems that understanding the composition of tissue microbiomes is useful for predicting the prognosis of CRC patients.","In addition, the amount of these two pathogenic bacteria was positively correlated with the expression levels of host genes involved in the cell cycle and cell proliferation, confirming the association of microbiomes with tumorigenic pathway genes in the host.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000352,16S rRNA of Mucosal Colon Microbiome and CCL2 Circulating Levels Are Potential Biomarkers in Colorectal Cancer.,Clinical statistics,,,Automatic candidate; requires manual review,"The mucosal colon microbiome and C-C motif chemokine 2 (CCL2) were investigated in 20 healthy controls (HC) and 20 CRC patients using 16S rRNA sequencing and immunoluminescent assay, respectively. | A total of 10 HC subjects were classified as overweight/obese (OW/OB_HC) and 10 subjects were normal weight (NW_HC); 15 CRC patients were classified as OW/OB_CRC and 5 patients were NW_CRC. | Globally, Streptococcus intermedius, Gemella haemolysans, Fusobacterium nucleatum, Bacteroides fragilis and Escherichia coli were significantly increased in CRC patient tumor/lesioned tissue (CRC_LT) and CRC patient unlesioned tissue (CRC_ULT) microbiomes compared to HC microbiomes.","CCL2 circulating levels were associated with tumor presence and with the abundance of Fusobacterium nucleatum, Bacteroides fragilis and Gemella haemolysans.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000353,Fusobacterium Nucleatum Promotes the Development of Colorectal Cancer by Activating a Cytochrome P450/Epoxyoctadecenoic Acid Axis via TLR4/Keap1/NRF2 Signaling.,Clinical statistics,,,Automatic candidate; requires manual review,"Fusobacterium nucleatum (Fn) plays a crucial role in the development of colorectal cancer, however, whether Fn infection modifies metabolism in patients with colorectal cancer remains unknown. | Here, LC-MS/MS-based lipidomics identified the upregulation of cytochrome P450 monooxygenases, primarily CYP2J2, and their mediated product 12,13-EpOME in patients with colorectal cancer tumors and mouse models, which increased the invasive and migratory ability of colorectal cancer cells in vivo and in vitro by regulating the epithelial-mesenchymal transition (EMT). | Metagenomic sequencing indicated a positive correlation between increased levels of fecal Fn and serum 12,13-EpOME in patients with colorectal cancer. | High levels of CYP2J2 in tumor tissues also correlated with high Fn levels and worse overall survival in patients with stage III/IV colorectal cancer. | Collectively, these data identify that Fn promotes EMT and metastasis in colorectal cancer by activating a TLR4/Keap1/NRF2 axis to increase CYP2J2 and 12,13-EpOME, which could serve as clinical biomarkers and therapeutic targets for Fn-infected patients with colorectal cancer. | SIGNIFICANCE: This study uncovers a mechanism by which Fusobacterium nucleatum regulates colorectal cancer metabolism to drive metastasis, suggesting the potential biomarker and therapeutic utility of the CYP2J2/12,13-EpOME axis in Fn-infected patients.","Metagenomic sequencing indicated a positive correlation between increased levels of fecal Fn and serum 12,13-EpOME in patients with colorectal cancer. | High levels of CYP2J2 in tumor tissues also correlated with high Fn levels and worse overall survival in patients with stage III/IV colorectal cancer.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,"Here, LC-MS/MS-based lipidomics identified the upregulation of cytochrome P450 monooxygenases, primarily CYP2J2, and their mediated product 12,13-EpOME in patients with colorectal cancer tumors and mouse models, which increased the invasive and migratory ability of colorectal cancer cells in vivo and in vitro by regulating the epithelial-mesenchymal transition (EMT).",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000354,Colorectal Tumour Mucosa Microbiome Is Enriched in Oral Pathogens and Defines Three Subtypes That Correlate with Markers of Tumour Progression.,Clinical statistics,,,Automatic candidate; requires manual review,"We performed 16S rRNA gene sequencing of paired tumour tissue, adjacent visually normal mucosa and stool swabs of 178 patients with stage 0-IV CRC to describe the tumour microbiome and its association with clinical variables. | Based on the tumour microbiome, we stratified CRC patients into three subtypes, significantly associated with prognostic factors such as tumour grade, sidedness and TNM staging, BRAF mutation and MSI status.","Even though the shifts in gut microbiome in the normal-adenoma-carcinoma sequence were described, the landscape of the microbiome within CRC and its associations with clinical variables remain under-explored. | We performed 16S rRNA gene sequencing of paired tumour tissue, adjacent visually normal mucosa and stool swabs of 178 patients with stage 0-IV CRC to describe the tumour microbiome and its association with clinical variables. | We identified new genera associated either with CRC tumour mucosa or CRC in general. | Based on the tumour microbiome, we stratified CRC patients into three subtypes, significantly associated with prognostic factors such as tumour grade, sidedness and TNM staging, BRAF mutation and MSI status. | We found that the CRC microbiome is strongly correlated with the grade, location and stage, but these associations are dependent on the microbial environment.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000355,Diagnosis and functional prediction of microbial markers in tumor tissues of sporadic colorectal cancer patients associated with the MLH1 protein phenotype.,Clinical statistics,,,Automatic candidate; requires manual review,"OBJECTIVE: Most patients with sporadic colorectal cancer (SCRC) develop microsatellite instability because of defects in mismatch repair (MMR). | RESULTS: The study included 23 patients with negative/defective MLH1 (DM group) and 22 patients with positive/intact MLH1 (IM group). | CONCLUSION: In conclusion, the genera Lachnoclostridium and Coprococcus as key species may be crucial biomarkers for non-invasive diagnostic prediction of DM in patients with SCRC in the future.",Not found in abstract / unknown,"We aimed to construct a high-accuracy model to detect and evaluate the area under the receiver operating characteristic curve with candidate biomarkers. | On the basis of the model of diagnostic prediction, we built a simplified optimal model through stepwise selection, consisting of the top two bacterial candidate markers (area under the curve = 0.93).",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000356,Dysbiosis of human tumor microbiome and aberrant residence of Actinomyces in tumor-associated fibroblasts in young-onset colorectal cancer.,Clinical statistics,,,Automatic candidate; requires manual review,"The colonic microbiome differs between patients with CRC and healthy controls; however, few studies have investigated the role of the tumor microbiota in disease diagnosis and tumorigenesis of yCRC. | An independent cohort was used to validate the results.","Correlation analysis revealed that Actinomyces co-occurred with various pro-tumor microbial taxa, including Bacteroidia, Gammaproteobacteria, and Pseudomonas. | The Actinomyces in CRC was co-localized with cancer-associated fibroblasts and activated the TLR2/NF-κB pathway and reduces CD8+ T lymphocyte infiltration in CRC microenvironment.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
